iter	RMSE
0	0.9449526602
1	0.9269410796
2	0.9093310081
3	0.8920195704
4	0.8751839315
5	0.8584888606
6	0.8423258564
7	0.8263016801
8	0.8106164862
9	0.7952248154
10	0.7801358233
11	0.7654293818
12	0.7510585603
13	0.736825819
14	0.7229035179
15	0.7093460261
16	0.6960592876
17	0.6829485514
18	0.6701259964
19	0.6576134516
20	0.6452998306
21	0.6332148174
22	0.6214791893
23	0.6099037883
24	0.5985383334
25	0.5874274228
26	0.5764847531
27	0.5657607531
28	0.5552504395
29	0.5450740749
30	0.5350252828
31	0.5251844036
32	0.515524874
33	0.5060186295
34	0.4966968134
35	0.4875695261
36	0.4786846044
37	0.4699209882
38	0.4613717383
39	0.4529267177
40	0.4447346852
41	0.4366924468
42	0.4287665562
43	0.4209221369
44	0.4133405583
45	0.4059059901
46	0.3986232235
47	0.3914714718
48	0.3844934721
49	0.3775764391
50	0.3708519672
51	0.3642254879
52	0.357820332
53	0.3514787921
54	0.3452142843
55	0.3390689838
56	0.3330705854
57	0.3271852552
58	0.3214542051
59	0.3158288418
60	0.310269219
61	0.3049069127
62	0.2996153217
63	0.2943899117
64	0.2892952099
65	0.2843509895
66	0.2794287104
67	0.2746608431
68	0.2699497859
69	0.2653612256
70	0.2608280335
71	0.2564061637
72	0.2520898652
73	0.2478354388
74	0.2437041921
75	0.2396492871
76	0.2356147097
77	0.2316714985
78	0.2278629354
79	0.2241500705
80	0.2204717118
81	0.2169121717
82	0.2133817191
83	0.2098915055
84	0.2065119575
85	0.2031648125
86	0.199903867
87	0.1967522701
88	0.1936644209
89	0.1906468647
90	0.1876330561
91	0.1846705737
92	0.1818579732
93	0.1790701618
94	0.1763004979
95	0.1735972868
96	0.170976206
97	0.1683964908
98	0.1658406874
99	0.1633312536
100	0.1609255404
101	0.1585279856
102	0.1561959713
103	0.1539246633
104	0.1517337109
105	0.1495748381
106	0.1474542791
107	0.1453748783
108	0.14333072
109	0.1413531079
110	0.1394126619
111	0.1374950458
112	0.1356741847
113	0.1338460483
114	0.1320596665
115	0.1303435545
116	0.1286606592
117	0.127000978
118	0.1253869404
119	0.1237887814
120	0.1222264911
121	0.1207145935
122	0.1192470266
123	0.1178200047
124	0.1164019114
125	0.1150162491
126	0.113664224
127	0.1123632265
128	0.1111000531
129	0.109837502
130	0.1086347353
131	0.1074499694
132	0.1062638634
133	0.1051322295
134	0.1040317061
135	0.1029593597
136	0.101922975
137	0.1009199384
138	0.09994718545
139	0.09896095466
140	0.09799087227
141	0.09707538064
142	0.09615833568
